Name,Nation,NationStatus,Active,Club,Field 1 (from Club),Division,Position,Foot,Mentality,Primary,Secondary,Model,Level,ClubStatus,Transfer Status
Florian Kastrati,Albania,,checked,Crawley Town,England,League One,,,,,,,,,
Liam Kelly,Ireland,,checked,Crawley Town,England,League One,,,,,,,,,
Ryan Sandford,England,,checked,Crawley Town,England,League One,GK,,,,,,,,
Corey Addai,Jamaica,,checked,Crawley Town,England,League One,GK,,,,,,,,
Will Wright,England,,checked,Crawley Town,England,League One,,,,,,,,,
Dion Conroy,England,,checked,Crawley Town,England,League One,,,,,,,,,
Danilo Orsi,England,,checked,Crawley Town,England,League One,,,,,,,,,
Jack Roles,Cyprus,,checked,Crawley Town,England,League One,,,,,,,,,
Ronan Darcy,England,,checked,Crawley Town,England,League One,,,,,,,,,
Travis Johnson,England,,checked,Crawley Town,England,League One,,,,,,,,,
Nick Tsaroulla,Cyprus,,checked,Crawley Town,England,League One,,,,,,,,,
Mustapha Olagunju,England,,checked,Crawley Town,England,League One,,,,,,,,,
Harry Ransom,England,,checked,Crawley Town,England,League One,,,,,,,,,
Ade Adeyemo,England,,checked,Crawley Town,England,League One,,,,,,,,,
Adam Campbell,England,,checked,Crawley Town,England,League One,,,,,,,,,
Jedidiah Brown,England,,checked,Crawley Town,England,League One,,,,,,,,,
Joe White,England,,checked,Crewe Alexandra,England,League Two,CM,Left,Balanced,Creator,Engine,Catalyst,80,,
Charlie Finney,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Jack Powell,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Lucas Sant,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Tom Booth,England,,checked,Crewe Alexandra,England,League Two,GK,,,,,,,,
Harvey Davies,England,,checked,Crewe Alexandra,England,League Two,GK,,,,,,,,
Lewis Leigh,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Owen Lunt,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Nathan Robinson,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Max Woodcock,Scotland,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Matúš Holíček,Slovakia,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Ed Turns,Wales,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Rhys Allport,Wales,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Max Stryjek,Poland,,checked,Crewe Alexandra,England,League Two,GK,,,,,,,,
Mikolaj Lenarcik,Poland,,checked,Crewe Alexandra,England,League Two,GK,,,,,,,,
Joel Tabiner,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Stan Dancey,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Calum Agius,Wales,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Charlie Kirk,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Mickey Demetriou,England,,checked,Crewe Alexandra,England,League Two,WD ,Left,Balanced,Engine,Cover,Dynamo,85,,
Lewis Nolan,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Matthew Senior,Wales,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Ryan Cooney,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Zak Kempster-Down,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Chris Long,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Joe Collins,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Shilow Tracey,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Aaron Rowe,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Courtney Baker-Richardson,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Conor Thomas,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Lewis Billington,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Luke Offord,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Rio Adebisi,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Josh Austerfield,England,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Zac Williams,Wales,,checked,Crewe Alexandra,England,League Two,,,,,,,,,
Eberechi Eze,England,Rotation,checked,Crystal Palace,England,Premier League,CM,Right,Attacking,Creator,Controller,Architect,89,Key,
Jeffrey Schlupp,Ghana,,checked,Crystal Palace,England,Premier League,WM,Left,Balanced,Sprinter,Powerhouse,Athlete,86,,
Marc Guehi,England,Rotation,checked,Crystal Palace,England,Premier League,CD,Right,Cautious,Stopper,Powerhouse,Gladiator,88,Starter,
Joel Ward,England,Not Considered,checked,Crystal Palace,England,Premier League,WD ,Right,Cautious,Cover,Stopper,Terrier,85,,
Michael Olise,England,National Pool,checked,Crystal Palace,England,Premier League,WF,Left,Attacking,Dribbler,Striker,Attacker,88,,
Jean-Phillipe Mateta,France,National Pool,checked,Crystal Palace,England,Premier League,CF,Right,Balanced,Powerhouse,Striker,Rifle,87,,
Cheick Doucoure,Mali,Starter,checked,Crystal Palace,England,Premier League,CM,Right,Balanced,Engine,Cover,Dynamo,87,,
Jairo Riedewald,Netherlands,,checked,Crystal Palace,England,Premier League,CM,Left,Balanced,Cover,Controller,Sweeper,85,,
Rob Holding,England,,checked,Crystal Palace,England,Premier League,CD,Right,Cautious,Stopper,Aerial,Centre Back,85,,
Dean Henderson,England,Squad,checked,Crystal Palace,England,Premier League,GK,Right,Balanced,Acrobat,Aerial,Guardian,86,Rotation,
Jordan Ayew,Ghana,Starter,checked,Crystal Palace,England,Premier League,WF,Right,Balanced,Creator,Dribbler,Magician,85,,
Remi Matthews,England,Not Considered,checked,Crystal Palace,England,Premier League,GK,Right,Cautious,Orthodox,Acrobat,Wall,83,,
Jesurun Rak-Sakyi,England,,checked,Crystal Palace,England,Premier League,WM,Left,Attacking,Dribbler,Sprinter,Winger,84,,
Odsonne Edouard,France,National Pool,checked,Crystal Palace,England,Premier League,CF,Right,Balanced,Striker,Creator,Talisman,86,,
David Ozoh,England,Not Considered,checked,Crystal Palace,England,Premier League,CM,Right,Cautious,Engine,Powerhouse,Bison,82,,
Sam Johnstone,England,Reserve,checked,Crystal Palace,England,Premier League,GK,Right,Cautious,Orthodox,Acrobat,Wall,85,,
Nathan Ferguson,England,,checked,Crystal Palace,England,Premier League,CD,Right,Balanced,Cover,Powerhouse,Cornerback,84,,
Matheus Franca,Brazil,,checked,Crystal Palace,England,Premier League,CM,Right,Attacking,Creator,Engine,Catalyst,85,,
Will Hughes,England,,checked,Crystal Palace,England,Premier League,CM,Left,Balanced,Controller,Creator,Metronome,85,,
Naouirou Ahamada,France,,checked,Crystal Palace,England,Premier League,CM,Right,Balanced,Powerhouse,Engine,Tank,84,,
Adam Wharton,England,Squad,checked,Crystal Palace,England,Premier League,CM,Left,Balanced,Controller,Creator,Metronome,87,Starter,
Tyrick Mitchell,England,National Pool,checked,Crystal Palace,England,Premier League,WD ,Left,Balanced,Sprinter,Engine,Raider,86,Starter,Premium
Chris Richards,United States,,checked,Crystal Palace,England,Premier League,CD,Right,Balanced,Powerhouse,Engine,Tank,85,,
Joachim Andersen,Denmark,Starter,checked,Crystal Palace,England,Premier League,CD,Right,Balanced,Stopper,Powerhouse,Gladiator,86,Starter,
Daniel Munoz,Colombia,,checked,Crystal Palace,England,Premier League,WD ,Right,Balanced,Engine,Sprinter,Shuttler,85,,
Nathaniel Clyne,England,,checked,Crystal Palace,England,Premier League,WD ,Right,Balanced,Sprinter,Powerhouse,Athlete,85,,
Jefferson Lerma,Colombia,,checked,Crystal Palace,England,Premier League,CM,Right,Balanced,Engine,Stopper,Destroyer,85,,
Conor Washington,,,checked,Derby County,England,Championship,CF,,,,,,,,
Joe Ward,England,,checked,Derby County,England,Championship,,,,,,,,,
Josh Vickers,England,,checked,Derby County,England,Championship,GK,,,,,,,,
Darren Robinson,,,checked,Derby County,England,Championship,,,,,,,,,
Dajaune Brown,Jamaica,,checked,Derby County,England,Championship,,,,,,,,,
Curtis Nelson,England,,checked,Derby County,England,Championship,,Right,,,,,,,
Kane Wilson,England,,checked,Derby County,England,Championship,,,,,,,,,
Louie Sibley,England,,checked,Derby County,England,Championship,,,,,,,,,
Sonny Bradley,England,,checked,Derby County,England,Championship,,,,,,,,,
Tom Barkhuizen,England,,checked,Derby County,England,Championship,WF,Right,Attacking,Sprinter,Engine,Raider,85,,
Callum Elder,Australia,,checked,Derby County,England,Championship,,,,,,,,,
Craig Forsyth,Scotland,,checked,Derby County,England,Championship,,,,,,,,,
Liam Thompson,England,,checked,Derby County,England,Championship,,,,,,,,,
James Collins,Ireland,,checked,Derby County,England,Championship,,,,,,,,,
Tyrese Fornah,Sierra Leone,,checked,Derby County,England,Championship,,,,,,,,,
Ryan Nyambe,,,checked,Derby County,England,Championship,,,,,,,,,
Nathaniel Mendez-Laing,Guatemala,,checked,Derby County,England,Championship,WF,Right,Attacking,Sprinter,Dribbler,Spark,85,,
Corey Blackett-Taylor,England,,checked,Derby County,England,Championship,,,,,,,,,
Eiran Cashin,Ireland,,checked,Derby County,England,Championship,CD,Left,Balanced,Stopper,Powerhouse,Gladiator,85,,
Jake Rooney,England,,checked,Derby County,England,Championship,,,,,,,,,
Jamie Sterry,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Joe Ironside,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Zain Westbrooke,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Louis Jones,England,,checked,Doncaster Rovers,England,League Two,GK,,,,,,,,
Jack Degruchy,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Jack Senior,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Jack Goodman,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Luke Molyneux,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Tavonga Kuleya,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Jay McGrath,Ireland,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Richard Wood,England,,checked,Doncaster Rovers,England,League Two,,Left,,,,,,,
George Broadbent,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Tom Anderson,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Ian Lawlor,Ireland,,checked,Doncaster Rovers,England,League Two,GK,,,,,,,,
Bobby Faulkner,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
George Miller,England,,checked,Doncaster Rovers,England,League Two,,Right,,,,,,,
Kyle Hurst,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
James Maxwell,Scotland,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Owen Bailey,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Joseph Olowu,Nigeria,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Ben Close,England,,checked,Doncaster Rovers,England,League Two,,,,,,,,,
Dwight McNeil,England,,checked,Everton,England,Premier League,WM,Left,Balanced,Creator,Engine,Catalyst,87,,
James Tarkowski,England,Reserve,checked,Everton,England,Premier League,CD,Right,Cautious,Stopper,Powerhouse,Gladiator,87,,
Dele Alli,England,National Pool,checked,Everton,England,Premier League,CM,Right,Attacking,Creator,Engine,Catalyst,84,,
Jack Harrison,England,National Pool,checked,Everton,England,Premier League,WF,Left,Balanced,Creator,Striker,Fantasista,86,,
Seamus Coleman,Ireland,,checked,Everton,England,Premier League,WD ,Right,Balanced,Engine,Cover,Dynamo,87,,
Jordan Pickford,England,Starter,checked,Everton,England,Premier League,GK,Left,Cautious,Acrobat,Orthodox,Shotstopper,87,Starter,
Arnaut Danjuma,Netherlands,Reserve,checked,Everton,England,Premier League,WF,Right,Attacking,Creator,Dribbler,Magician,86,,
Dominic Calvert-Lewin,England,Reserve,checked,Everton,England,Premier League,CF,Right,Attacking,Aerial,Striker,Target,86,,
Tim Ireogbunam,England,,checked,Everton,England,Premier League,CM,Right,Cautious,Powerhouse,Controller,Anchor,84,,
Jarrad Branthwaite,England,,checked,Everton,England,Premier League,CD,Left,Balanced,Stopper,Powerhouse,Gladiator,87,,
Idrissa Gueye,Senegal,,checked,Everton,England,Premier League,CM,Right,Cautious,Cover,Controller,Sweeper,87,,
Ashley Young,England,Retired,checked,Everton,England,Premier League,WD ,Right,Balanced,Engine,Cover,Dynamo,85,,
Amadou Onana,Belgium,Rotation,checked,Everton,England,Premier League,CM,Right,Balanced,Engine,Aerial,Boxcrasher,87,Rotation,
Nathan Patterson,Scotland,,checked,Everton,England,Premier League,WD ,Right,Balanced,Engine,Sprinter,Shuttler,85,,
Vitaliy Mykolenko,Ukraine,Starter,checked,Everton,England,Premier League,WD ,Left,Balanced,Cover,Engine,Workhorse,86,Starter,
Courtney Brosnan,,,checked,Everton WFC,England,WSL,GK,,Cautious,,,,,,
Katja Snoeijs,Netherlands,,checked,Everton WFC,England,WSL,,,,,,,,,
Macy Settle,England,,checked,Everton WFC,England,WSL,,,,,,,,,
Karen Holmgaard,Denmark,,checked,Everton WFC,England,WSL,,,,,,,,,
Emma Bissell,England,,checked,Everton WFC,England,WSL,,,,,,,,,
Annie Wilding,England,,checked,Everton WFC,England,WSL,,,,,,,,,
Justine Vanhaevermaet,Belgium,,checked,Everton WFC,England,WSL,,,,,,,,,
Toni Duggan,England,,checked,Everton WFC,England,WSL,,,,,,,,,
Emily Ramsey,England,,checked,Everton WFC,England,WSL,GK,,Cautious,,,,,,
Martina Piemonte,Italy,,checked,Everton WFC,England,WSL,,,,,,,,,
Clare Wheeler,Australia,,checked,Everton WFC,England,WSL,,,,,,,,,
Rikke Madsen,Denmark,,checked,Everton WFC,England,WSL,,,,,,,,,
Isabella Hobson,England,,checked,Everton WFC,England,WSL,,,,,,,,,
Megan Finnigan,England,,checked,Everton WFC,England,WSL,,,,,,,,,
Heather Payne,,,checked,Everton WFC,England,WSL,,,,,,,,,
Sara Holmgaard,Denmark,,checked,Everton WFC,England,WSL,,,,,,,,,
Abbey Clarke,England,,checked,Everton WFC,England,WSL,,,,,,,,,
Katrine Veje,Denmark,,checked,Everton WFC,England,WSL,,,,,,,,,
Aurora Galli,Italy,,checked,Everton WFC,England,WSL,,,,,,,,,
Lucy Hope,Scotland,,checked,Everton WFC,England,WSL,,,,,,,,,
Libby Hart,England,,checked,Everton WFC,England,WSL,GK,,Cautious,,,,,,
Elise Stenevik,Norway,,checked,Everton WFC,England,WSL,,,,,,,,,
Karoline Olesen,Denmark,,checked,Everton WFC,England,WSL,,,,,,,,,
Kathrine Møller Kühl,Denmark,,checked,Everton WFC,England,WSL,,,,,,,,,
Eleanor Dale,England,,checked,Everton WFC,England,WSL,,,,,,,,,
Hanna Bennison,Sweden,,checked,Everton WFC,England,WSL,,,,,,,,,
Viljami Sinisalo,Finland,,checked,Exeter City,England,League One,GK,,,,,,,,
Harry Kite,England,,checked,Exeter City,England,League One,,,,,,,,,
Will Aimson,England,,checked,Exeter City,England,League One,,,,,,,,,
Liam Oakes,England,,checked,Exeter City,England,League One,,,,,,,,,
Zak Jules,Scotland,,checked,Exeter City,England,League One,,,,,,,,,
Sonny Cox,England,,checked,Exeter City,England,League One,,,,,,,,,
Cheick Diabate,England,,checked,Exeter City,England,League One,,,,,,,,,
Mohamed Eisa,,,checked,Exeter City,England,League One,,,,,,,,,
Jack Fitzwater,England,,checked,Exeter City,England,League One,,,,,,,,,
Kyle Taylor,England,,checked,Exeter City,England,League One,,,,,,,,,
Demetri Mitchell,England,,checked,Exeter City,England,League One,,,,,,,,,
Aamir Daniels,England,,checked,Exeter City,England,League One,,,,,,,,,
Santino Ohanaka,England,,checked,Exeter City,England,League One,,,,,,,,,
Max Edgecombe,England,,checked,Exeter City,England,League One,,,,,,,,,
Joe O'Connor,England,,checked,Exeter City,England,League One,,,,,,,,,
Tom Carroll,England,,checked,Exeter City,England,League One,,,,,,,,,
Ben Purrington,England,,checked,Exeter City,England,League One,,,,,,,,,
Jake Richards,England,,checked,Exeter City,England,League One,,,,,,,,,
Millenic Alli,Ireland,,checked,Exeter City,England,League One,,,,,,,,,
Gabriel Billington,England,,checked,Exeter City,England,League One,,,,,,,,,
Harry Lee,England,,checked,Exeter City,England,League One,GK,,,,,,,,
Caleb Watts,Australia,,checked,Exeter City,England,League One,,,,,,,,,
David Perkins,England,,checked,Exeter City,England,League One,,Left,,,,,,,
Alex Hartridge,England,,checked,Exeter City,England,League One,,,,,,,,,
Ilmari Niskanen,Finland,,checked,Exeter City,England,League One,,,,,,,,,
Admiral Muskwe,Zimbabwe,,checked,Exeter City,England,League One,,,,,,,,,
Mitch Beardmore,England,,checked,Exeter City,England,League One,,,,,,,,,
Jack Aitchison,Scotland,,checked,Exeter City,England,League One,,,,,,,,,
Gary Woods,England,,checked,Exeter City,England,League One,GK,Right,,,,,,,
Pierce Sweeney,Ireland,,checked,Exeter City,England,League One,,,,,,,,,
Vincent Harper,England,,checked,Exeter City,England,League One,,,,,,,,,
Ryan Woods,England,,checked,Exeter City,England,League One,,,,,,,,,
Shaun MacDonald,England,,checked,Exeter City,England,League One,GK,,,,,,,,
Dion Rankine,England,,checked,Exeter City,England,League One,,,,,,,,,
Reece Cole,England,,checked,Exeter City,England,League One,,,,,,,,,
Pedro Borges,Portugal,,checked,Exeter City,England,League One,,,,,,,,,
Elijah Campbell,England,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Phoenix Patterson,Scotland,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Imari Samuels,England,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Promise Omochere,Ireland,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Carl Johnston,,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Harvey Macadam,England,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Shaun Rooney,Scotland,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Ben Heneghan,England,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Finlay Armstrong,England,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Junior Quitirna,Guinea-Bissau,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Ryan Broom,Wales,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Ryan Graydon,Ireland,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Bosun Lawal,Ireland,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Stephen McMullan,,,checked,Fleetwood Town,England,League Two,GK,,,,,,,,
Danny Mayor,England,,checked,Fleetwood Town,England,League Two,,Right,,,,,,,
Gavin Kilkenny,Ireland,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Harry Boyes,England,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Tommy Lonergan,Ireland,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Finley Potter,England,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Ronan Coughlan,Ireland,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Jayden Stockley,England,,checked,Fleetwood Town,England,League Two,,Right,,,,,,,
Brendan Wiredu,England,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Jay Lynch,England,,checked,Fleetwood Town,England,League Two,GK,,,,,,,,
Xavier Simons,England,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Theo Williams,England,,checked,Fleetwood Town,England,League Two,,,,,,,,,
Harrison Holgate,England,,checked,Fleetwood Town,England,League Two,,,,,,,,,
